0,0x20C3252E818,0,0,0,0,0,0,0,0x4A9E4218F466119B
2,0x20C3252E821,300,50,50,50,50,50,0x33AA6D072B256B5A,0x57A0BAB1631B1F08
1,0x20C3252E82A,100,32,32,32,32,32,0x467D46139ECEC6B1,0x330F7A09129AB249
12,0x20C3252E831,7000,50,50,50,50,50,0x16A94F65E0F6E3D4,0x6165BF62FFA97F06
11,0x20C3252E83C,5000,50,50,50,50,50,0x7DEACFDC45E7E713,0
6,0x20C3252E847,1000,20,25,25,25,25,0xFC7658F2128D919,0
10,0x20C3252E84C,3000,20,25,25,25,25,0x7206C95311F84B11,0
14,0x20C3252E851,2000,25,25,25,25,25,0xFC7658F2128D919,0
13,0x20C3252E85E,4000,25,25,25,25,25,0x7206C95311F84B11,0
15,0x20C3252E86B,6000,50,50,50,50,50,0x7DEACFDC45E7E713,0
16,0x20C3252E87E,8000,50,50,50,50,50,0x16A94F65E0F6E3D4,0
17,0x20C3252E891,200,50,50,50,50,50,0x27B869AC14830908,0x13751B0A1A9836D9
