0,0
0,0
1,104745
2,210614
3,317620
4,425776
5,535093
6,645584
7,757261
8,870138
9,984227
10,1099541
11,1216093
12,1333897
13,1452966
14,1573314
15,1694954
16,1817901
17,1942168
18,2067769
19,2194719
20,2323033
21,2452724
22,2583808
23,2716300
24,2850215
25,2985567
26,3122374
27,3260649
28,3400409
29,3541671
30,3684449
31,3828760
32,3974622
33,4122049
34,4271060
35,4421671
36,4573900
37,4727763
38,4883278
39,5040464
40,5199338
41,5359917
42,5522222
43,5686269
44,5852078
45,6019667
46,6189056
47,6360265
48,6533311
49,6708217
50,6885000
51,7063682
52,7244283
53,7426823
54,7611323
55,7797805
56,7986290
57,8176798
58,8369353
59,0x0082AD07
60,0x0085AD6F
61,0x0088B618
62,0x008BC718
63,0x008EE086
64,0x00920279
65,0x00952D09
66,0x0098604D
67,0x009B9C5E
68,0x009EE153
69,0x00A22F45
70,0x00A5864C
71,0x00A8E683
72,0x00AC5001
73,0x00AFC2E0
74,0x00B33F3B
75,0x00B6C52B
76,0x00BA54CA
77,0x00BDEE34
78,0x00C19183
79,0x00C53ED2
80,0x00C8F63C
81,0x00CCB7DF
82,0x00D083D5
83,0x00D45A3B
84,0x00D83B2E
85,0x00DC26CB
86,0x00E01D2F
87,0x00E41E77
88,0x00E82AC3
89,0x00EC422F
90,0x00F064DA
91,0x00F492E5
92,0x00F8CC6C
93,0x00FD1192
94,0x01016274
95,0x0105BF34
96,0x010A27F2
97,0x010E9CCF
98,0x01131DED
99,0x0117AB6C
100,0x011C4570
