1,25,0x3F800000,0x3F800000,0x3F800000,0x3E5DDDDE,0x3EDDDDDE,0x3F3586FB,0x3F3E2BE3,0x3E800000,0x3F000000,0x3F51745D,0x3F5B6DB7,0x3D851EB8,0x3DB17E4B,0x3E051EB8,0x3E051EB8
2,50,0x3F800000,0x3F800000,0x3F800000,0x3E8E38E4,0x3EE8BA2F,0x3F092492,0x3F0E38E4,0x3E8E38E4,0x3EE8BA2F,0x3F092492,0x3F0E38E4,0x3DCCCCCD,0x3DE66666,0x3E0CCCCD,0x3E0CCCCD
3,75,0x3F800000,0x3F800000,0x3F800000,0x3EBD0BD1,0x3F23D70A,0x3F2147AE,0x3F449BA6,0x3E9D89D9,0x3F088889,0x3F066666,0x3F23D70A,0x3E23D70A,0x3E2E147B,0x3E3851EC,0x3E428F5C
4,100,0x3F800000,0x3F800000,0x3F800000,0x3EBBBBBC,0x3F19999A,0x3F25E354,0x3F27904A,0x3E9C71C7,0x3F000000,0x3F0A3D71,0x3F0BA2E9,0x3E4F5C29,0x3E4F5C29,0x3E4F5C29,0x3E570A3D
5,100,0x3F800000,0x3F800000,0x3F800000,0x3EB33333,0x3F072B02,0x3F1E6666,0x3F3E2BE3,0x3E955555,0x3EE147AE,0x3F040000,0x3F1E79E8,0x3E7BE76D,0x3E6978D5,0x3E6978D5,0x3E7BE76D
6,100,0x3F800000,0x3F800000,0x3F800000,0x3EB60B61,0x3F0BA2E9,0x3F333333,0x3F570A3D,0x3E97B426,0x3EE8BA2F,0x3F155555,0x3F333333,0x3E91EB85,0x3E87AE14,0x3E851EB8,0x3E8CCCCD
7,100,0x3F800000,0x3F800000,0x3F800000,0x3EDB6DB7,0x3F0D255D,0x3F3F103C,0x3F630F95,0x3EB6DB6E,0x3EEB3E45,0x3F1F3832,0x3F3D37A7,0x3EA8F5C3,0x3E99999A,0x3E9767DD,0x3E9DFD13
8,100,0x3F800000,0x3F800000,0x3F800000,0x3EBEAD05,0x3F24D6CA,0x3F3A47E6,0x3F781F82,0x3E9EE584,0x3F095DA9,0x3F1B3BEA,0x3F4EC4EC,0x3EB66666,0x3EB0A3D7,0x3EA8F5C3,0x3EB28F5C
9,100,0x3F800000,0x3F800000,0x3F800000,0x3EB25FCB,0x3F0F5C29,0x3F50AA06,0x3F6147AE,0x3E94A529,0x3EEEEEEF,0x3F2DE305,0x3F3BBBBC,0x3EC0DA74,0x3EC0DA74,0x3EBF258C,0x3EC44444
10,100,0x3F800000,0x3F800000,0x3F800000,0x3EB0DF6B,0x3F169697,0x3F400000,0x3F706ADA,0x3E9364D9,0x3EFAFAFB,0x3F200000,0x3F48590B,0x3ECAC083,0x3ED3F7CF,0x3ED26E98,0x3EDA1CAC
11,100,0x3F800000,0x3F800000,0x3F800000,0x3EA2A2A3,0x3F0EA0EA,0x3F1E2F61,0x3F54AD4B,0x3E878788,0x3EEDB6DB,0x3F03D226,0x3F313B14,0x3ED1745D,0x3EE500EE,0x3EDF6B0E,0x3EEBFC47
12,100,0x3F800000,0x3F800000,0x3F800000,0x3EAAAAAB,0x3F14A529,0x3F4AC083,0x3F6D61BF,0x3E8E38E4,0x3EF7BDEF,0x3F28F5C3,0x3F45D174,0x3ED9999A,0x3EF851EC,0x3EF70A3D,0x3F01EB85
13,100,0x3F800000,0x3F800000,0x3F800000,0x3E95A95B,0x3F0590B2,0x3F350750,0x3F7BE76D,0x3E796F97,0x3EDE9BD3,0x3F16DB6E,0x3F51EB85,0x3EDF4F8F,0x3F045512,0x3F05838B,0x3F1025CF
14,100,0x3F800000,0x3F800000,0x3F800000,0x3EA4D6CA,0x3EF286BD,0x3F3A47E6,0x3F19999A,0x3E895DA9,0x3ECA1AF3,0x3F1B3BEA,0x3F000000,0x3EE77F45,0x3F0B564F,0x3F10D2A7,0x3F153620
15,100,0x3F800000,0x3F800000,0x3F800000,0x3E8BA2E9,0x3F0EA0EA,0x3F2F8AF9,0x3EE21965,0x3E68BA2F,0x3EEDB6DB,0x3F124925,0x3EBC6A7F,0x3EEC8B44,0x3F160419,0x3F1BA5E3,0x3F170A3D
16,100,0x3F800000,0x3F800000,0x3F800000,0x3E785FDD,0x3F042108,0x3F1EE584,0x3F1F200C,0x3E4EFA8E,0x3EDC370E,0x3F0469EE,0x3F049AB4,0x3EF00000,0x3F1FD70A,0x3F251EB8,0x3F1EE148
17,100,0x3F800000,0x3F800000,0x3F800000,0x3E872B02,0x3EF0F0F1,0x3F100000,0x3F07A592,0x3E6147AE,0x3EC8C8C9,0x3EF00000,0x3EE213F3,0x3EF5C28F,0x3F28821C,0x3F2D7A47,0x3F24E4E5
18,100,0x3F800000,0x3F800000,0x3F800000,0x3EBF4685,0x3EDD67C9,0x3F03A83B,0x3EEFF175,0x3E9F656F,0x3EB88127,0x3EDB6DB7,0x3EC7F3E2,0x3F022222,0x3F30369D,0x3F34E81B,0x3F29D037
19,100,0x3F800000,0x3F800000,0x3F800000,0x3EAF8AF9,0x3ECB1B81,0x3EF0F0F1,0x3F042108,0x3E924925,0x3EA94196,0x3EC8C8C9,0x3EDC370E,0x3F08380D,0x3F371B7C,0x3F3B8DBE,0x3F310B51
20,100,0x3F800000,0x3F800000,0x3F800000,0x3E99999A,0x3EBA2E8C,0x3EDB6DB7,0x3EF0F0F1,0x3E800000,0x3E9B26CA,0x3EB6DB6E,0x3EC8C8C9,0x3F0CED91,0x3F3D4FDF,0x3F418937,0x3F378D50
21,100,0x3F800000,0x3F800000,0x3F800000,0x3E73CF3D,0x3EB36309,0x3ED2A6C4,0x3EE6C2B4,0x3E4B2CB3,0x3E957D32,0x3EAF8AF9,0x3EC04CEC,0x3F0F5C29,0x3F42ECFC,0x3F46F2D6,0x3F3D70A4
22,100,0x3F800000,0x3F800000,0x3F800000,0x3E898D60,0x3EAD1207,0x3ECA8CA9,0x3EDD67C9,0x3E6540F5,0x3E9039B1,0x3EA8CA8D,0x3EB88127,0x3F1350FD,0x3F480772,0x3F4BDE7D,0x3F42CAF0
23,100,0x3F800000,0x3F800000,0x3F800000,0x3EAD1207,0x3EA60DD6,0x3EC30C31,0x3ED4C77B,0x3E9039B1,0x3E8A60DD,0x3EA28A29,0x3EB150E7,0x3F1A4490,0x3F4CB04E,0x3F505C9B,0x3F47AE14
24,100,0x3F800000,0x3F800000,0x3F800000,0x3EA3D70A,0x3EA0A0A1,0x3EBC14E6,0x3ECCCCCD,0x3E888889,0x3E85DB31,0x3E9CBC15,0x3EAAAAAB,0x3F20A3D7,0x3F50F5C3,0x3F547AE1,0x3F4C28F6
