0x6BADA5168620C5FE,1,60,100,300,750,1400,1750,2000,0x42C80000,0x40A00000,0x40000000,0x40000000
0x277FE05E21FE4DE4,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x3DF9B07AC48DE496,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x745E7EDFC6DAA5BE,1,60,100,300,750,1400,1750,2000,0x42C80000,0x428C0000,0x41F00000,0x40000000
0x7A6F01FAF5BDBA69,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x1734871FEF9C0549,1,60,100,300,750,1400,1750,2000,0x42C80000,0x41A00000,0x3F800000,0x3ECCCCCD
0x6CEF4328AFE74D0C,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42200000,0x41A00000,0x40A00000
0x23DD6039FE2F36C6,1,60,100,300,750,1400,1750,2000,0x41C80000,0x40A00000,0x40000000,0x3F800000
0x85EDF3A63BB488C,1,60,100,300,750,1400,1750,2000,0x42480000,0x41C80000,0x41200000,0x3F800000
0x2F148F3F9C3812A8,1,60,100,300,750,1400,1750,2000,0x42480000,0x41C80000,0x41200000,0x3F800000
0x2F14923F9C3817C1,1,60,100,300,750,1400,1750,2000,0x42480000,0x41C80000,0x41200000,0x3F800000
0x2F14913F9C38160E,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x2F14943F9C381B27,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x2F14933F9C381974,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x41ADC0CA9DAF6E9D,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x4AC402A4ADD2A995,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x4AC3FFA4ADD2A47C,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x4AC400A4ADD2A62F,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x4AC3FDA4ADD2A116,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x4AC3FEA4ADD2A2C9,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x25B9FB682A777869,1,60,100,300,750,1400,1750,2000,0x42C80000,0x40A00000,0x3F800000,0x3ECCCCCD
0x5CFDEED7C43F7060,0,0,0,0,0,0,0,0,0,0,0,0
0x2BB2C011D62C43C8,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x5CEAF52285031501,1,60,100,300,750,1400,1750,2000,0x42C80000,0x40A00000,0x40000000,0x3F800000
0x34038F755B300D3A,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40A00000
0x431FCB7CB12F6767,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40A00000
0x12F078DDC9B913C3,0,0,0,0,0,0,0,0,0,0,0,0
0x36A6454F13B54F18,1,60,100,300,750,1400,1750,2000,0x42C80000,0x41200000,0x40000000,0x3F000000
0x438FAFE881CDD097,1,60,100,300,750,1400,1750,2000,0x42C80000,0x42480000,0x41A00000,0x40000000
0x72C14C150086340C,1,60,100,300,750,1400,1750,2000,0x41C80000,0x40A00000,0x40000000,0x3F800000
0x10927835E53FBD02,1,3,8,15,30,60,100,150,0x42C80000,0x42480000,0x41A00000,0x40000000
0x6A4DD5ED56F6E3F6,1,60,100,300,750,1400,1750,2000,0x42C80000,0x41200000,0x40A00000,0x3F800000
0x6837931CE185238C,1,60,100,300,750,1400,1750,2000,0x42C80000,0x40A00000,0x3F800000,0x3F800000
0x6BB8D088AA5D2DF5,1,999,999,999,9999,9999,9999,9999,0x42C80000,0x42C80000,0x41C80000,0x40400000
