1,103,0x18A68DB75B464A54,0x20C3254D910,13,18
2,6,0x4CEC3660DB36A74E,0x20C3254D913,13,18
3,5,0x4A35EC632CF29E2F,0x20C3254D916,13,18
4,8,0x7D814C8B5C4D8A7D,0x20C3254D919,13,18
5,13,0x2E275013EAE29752,0x20C3254D91C,13,18
6,16,0x64FF7A8F4DC33622,0x20C3254D91F,13,18
7,23,0x643F17E970510C13,0x20C3254D922,13,18
8,25,0x16AE274C16FA5ACA,0x20C3254D925,13,18
9,32,0x5692ADDAB0A2BE74,0x20C3254D928,13,18
10,34,0x4BB753E66570D32B,0x20C3254D92B,13,18
11,24,0x3DE2E5FC086EB689,0x20C3254D92E,13,18
12,37,0x596A29CAD6182453,0x20C3254D931,13,18
13,42,0x3A8F451D8B8582FA,0x20C3254D934,13,18
14,44,0x7F02EF760BB41A83,0x20C3254D937,13,18
15,50,0x6E1CF9C8D90751F3,0x20C3254D93A,13,18
16,71,0x71C87DDCCB907BB3,0x20C3254D93D,13,18
17,74,0xF3CFBFB9E21FA58,0x20C3254D940,13,18
18,76,0x4D6FEA45CFCDCB0,0x20C3254D943,13,18
19,75,0x2F9D66642A7EE15E,0x20C3254D946,13,18
20,82,0x650083DA7AC5A724,0x20C3254D949,13,18
21,84,0x1F542620303CE30A,0x20C3254D94C,13,18
22,88,0x10F9BABAEB101701,0x20C3254D94F,13,18
23,31,0x1824A44DF12C0D51,0x20C3254D952,13,18
24,90,0x49009277522ED32C,0x20C3254D955,13,18
25,18,0x31181B8028D50129,0x20C3254D958,13,18
26,35,0x4AECE42496487595,0x20C3254D95B,13,18
