0,0x20C3FA25F57,0x11D1A36105FC322,0x20D97F7C8385553E,0x4CD85DA54E34F20A,0,0,0x6D0CF187CD10E4A5,0x2C00D7D5F116330F,0
0,0x20C3FA2621E,0x2AB22D2DB270CC78,0x20D97F7C8385553E,0x6DA6061FD1E081BD,0,0,0,0x2C00D7D5F116330F,0
0,0x20C3FA34ED9,0x12131747B227DBD0,0xC70E59DBA98CF81,0x23631E606828D668,0,0,0,0,0
0,0x20C3FA2C3F0,0x69DFC052972318CD,0xD48E5F30CECB510,0x4CD85DA54E34F20A,0,0,0,0,0
1,0x20C3FA24ABD,0x7C8FC09EE071CFE2,0x221A99278DE5AD06,0x4CD85DA54E34F20A,0,1,0,0,0
2,0x20C3FA27E59,0x75FB7298C4E6DDDA,0x4CA2BC08C1A6BCF6,0x23631E606828D668,0,0,0,0,0
3,0x20C3FA34CB4,0x44FB0FADA39F7D46,0x7C692B8EB31F67EB,0x4CD85DA54E34F20A,0,0,0,0,0
4,0x20C3FA32FA0,0x6AE695A7F1E92C5C,0x27328F764C0BBB70,0x6DA6061FD1E081BD,0,0,0,0,0
5,0x20C3FA24847,0x691EF851A54AC24B,0x67F2A8FDB358E5E0,0x23631E606828D668,0,0,0,0x2C00D7D5F116330F,0
6,0x20C31474A20,0x7BB2D755872A5BE5,0x75A5FB9B890AD416,0x4CD85DA54E34F20A,0,1,0,0,0
7,0x20C3FA2F210,0x4778F70CED97FF49,0x7C692B8EB31F67EB,0x4CD85DA54E34F20A,0,0,0,0,0
8,0x20C3FA34717,0x1E5D0347949A0C1C,0x27FCF589AE53DA66,0x6DA6061FD1E081BD,0,0,0,0,1
8,0x20C31474A20,0x28C16CC88AC9BF64,0x6E2E66060A72F89C,0x6DA6061FD1E081BD,0,0,0,0,1
9,0x20C3FA2A119,0x55F8E7C73FD7A967,0x19AB8A015671D37B,0x4CD85DA54E34F20A,0,0,0,0,0
10,0x20C3FA25D20,0x1A6D1C81883B4456,0x20D97F7C8385553E,0x6DA6061FD1E081BD,0,0,0,0x2C00D7D5F116330F,0
